Geo_id,Geo_id2,Geo_display_label,I_T_WH,I_P_WH,I_T_AA,I_P_AA,I_T_AI,I_P_AI,I_T_AS,I_P_AS,I_T_PI,I_P_PI,I_T_OT,I_P_OT,I_T_HL,I_P_HL
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",2138,70.4,315,10.4,26,0.9,683,22.5,0,0,27,0.9,237,7.8
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",1703,63.5,628,23.4,0,0,363,13.5,0,0,74,2.8,186,6.9
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",72,100,0,0,0,0,0,0,0,0,0,0,0,0
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",338,13.6,2128,85.5,9,0.4,0,0,0,0,13,0.5,121,4.9
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",2241,86.1,331,12.7,14,0.5,25,1,0,0,50,1.9,275,10.6
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",1808,88.8,81,4,64,3.1,162,8,0,0,10,0.5,78,3.8
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",3568,81.6,612,14,25,0.6,186,4.3,14,0.3,42,1,240,5.5
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",1215,51.7,1008,42.9,39,1.7,129,5.5,8,0.3,35,1.5,131,5.6
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",1640,65.4,839,33.4,0,0,103,4.1,0,0,16,0.6,83,3.3
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",275,10.1,2405,88,22,0.8,4,0.1,0,0,67,2.5,143,5.2
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",1926,81,553,23.2,25,1.1,76,3.2,0,0,16,0.7,120,5
1400000US11001007000,11001007e3,"Census Tract 70, District of Columbia, District of Columbia",2424,82.9,411,14.1,35,1.2,123,4.2,0,0,134,4.6,364,12.5
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",1275,37.2,2068,60.4,16,0.5,113,3.3,7,0.2,20,0.6,166,4.8
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",3633,70.5,1381,26.8,31,0.6,227,4.4,0,0,23,0.4,290,5.6
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",3170,68.8,1316,28.6,70,1.5,250,5.4,0,0,104,2.3,709,15.4
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",186,5.2,3327,92.6,6,0.2,0,0,0,0,101,2.8,122,3.4
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",49,2.2,2161,95.5,0,0,26,1.1,0,0,26,1.1,48,2.1
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",41,1.3,3135,98.4,0,0,0,0,0,0,11,0.3,81,2.5
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",37,0.9,4058,94.2,0,0,8,0.2,0,0,204,4.7,117,2.7
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",42,1.3,2944,90.5,40,1.2,0,0,16,0.5,292,9,292,9
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",112,3.4,3211,97.4,0,0,0,0,0,0,0,0,50,1.5
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",63,1.7,3376,93,47,1.3,0,0,0,0,182,5,47,1.3
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",55,1.4,3774,94.4,0,0,55,1.4,0,0,139,3.5,139,3.5
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",59,1.1,5267,99.1,10,0.2,0,0,0,0,0,0,0,0
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",141,5.7,2303,93.8,5,0.2,5,0.2,0,0,24,1,37,1.5
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",27,0.9,2874,98.9,0,0,0,0,0,0,5,0.2,5,0.2
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",360,7.4,4394,90.5,41,0.8,0,0,13,0.3,88,1.8,198,4.1
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",365,8.5,3704,86.5,0,0,41,1,0,0,197,4.6,370,8.6
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",198,4.7,3916,92,130,3.1,21,0.5,0,0,96,2.3,160,3.8
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",254,6.4,3501,88.5,45,1.1,146,3.7,0,0,203,5.1,214,5.4
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",16,0.3,5769,93.7,0,0,23,0.4,0,0,367,6,367,6
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",38,0.8,4455,99.4,21,0.5,0,0,0,0,8,0.2,69,1.5
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",0,0,3039,100,0,0,0,0,0,0,0,0,0,0
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",55,2.2,2453,97.2,83,3.3,0,0,11,0.4,52,2.1,94,3.7
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",153,3.7,3640,88.5,29,0.7,9,0.2,0,0,306,7.4,318,7.7
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",97,2.4,4108,99.7,6,0.1,50,1.2,0,0,0,0,22,0.5
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",62,2.9,2104,97,0,0,0,0,0,0,3,0.1,3,0.1
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",55,2.5,2063,95,14,0.6,13,0.6,0,0,54,2.5,86,4
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",58,1.5,3860,97.7,32,0.8,50,1.3,0,0,40,1,105,2.7
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",40,1.1,3455,98.1,44,1.2,46,1.3,0,0,14,0.4,99,2.8
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",1052,25.8,2866,70.3,77,1.9,52,1.3,0,0,148,3.6,156,3.8
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",488,24.8,1460,74.1,32,1.6,44,2.2,0,0,24,1.2,53,2.7
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",2204,70.5,826,26.4,39,1.2,160,5.1,9,0.3,33,1.1,93,3
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",2365,68.2,1035,29.8,17,0.5,105,3,7,0.2,13,0.4,288,8.3
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",2805,85.4,373,11.4,13,0.4,124,3.8,4,0.1,52,1.6,276,8.4
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",2700,88.4,250,8.2,14,0.5,221,7.2,0,0,13,0.4,254,8.3
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",1996,82.4,303,12.5,32,1.3,181,7.5,0,0,31,1.3,142,5.9
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",1872,73.5,527,20.7,2,0.1,208,8.2,0,0,8,0.3,73,2.9
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",1695,72.1,709,30.1,0,0,58,2.5,0,0,0,0,77,3.3
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",855,55.8,624,40.7,11,0.7,68,4.4,0,0,31,2,100,6.5
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",963,40.7,1345,56.8,14,0.6,43,1.8,0,0,27,1.1,228,9.6
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",920,33.4,1611,58.6,4,0.1,150,5.5,0,0,129,4.7,275,10
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",1163,27,3054,70.8,32,0.7,70,1.6,0,0,35,0.8,141,3.3
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",778,30.3,1697,66.1,3,0.1,54,2.1,31,1.2,110,4.3,258,10
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",293,11.4,2053,80.2,21,0.8,194,7.6,0,0,33,1.3,71,2.8
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",436,13.4,2587,79.6,9,0.3,96,3,0,0,155,4.8,164,5
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",396,10.8,3073,83.5,0,0,105,2.9,0,0,166,4.5,483,13.1
1400000US11001009000,11001009e3,"Census Tract 90, District of Columbia, District of Columbia",362,10.3,3099,88,52,1.5,10,0.3,0,0,52,1.5,268,7.6
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",660,12.6,4414,84,18,0.3,95,1.8,12,0.2,176,3.3,221,4.2
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",1374,50.6,1208,44.4,110,4,128,4.7,0,0,109,4,195,7.2
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",645,23,2084,74.2,67,2.4,9,0.3,0,0,141,5,267,9.5
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",344,11.8,2302,78.9,22,0.8,48,1.6,0,0,261,8.9,293,10
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",1264,36.4,1971,56.8,69,2,199,5.7,23,0.7,80,2.3,246,7.1
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",565,44.2,596,46.6,8,0.6,3,0.2,0,0,129,10.1,345,27
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",1006,20.5,3852,78.3,8,0.2,63,1.3,0,0,66,1.3,279,5.7
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",2508,32.7,3741,48.8,165,2.2,313,4.1,23,0.3,1207,15.8,1910,24.9
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",651,20.7,2459,78.2,6,0.2,72,2.3,0,0,12,0.4,57,1.8
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",1036,31.4,1799,54.6,304,9.2,112,3.4,0,0,94,2.9,446,13.5
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",407,13.8,2340,79.6,62,2.1,30,1,12,0.4,230,7.8,324,11
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",204,10.6,1652,85.9,0,0,0,0,0,0,79,4.1,292,15.2
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",338,9.2,2826,76.6,176,4.8,88,2.4,0,0,426,11.5,587,15.9
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",377,11.4,2803,84.6,0,0,29,0.9,0,0,184,5.6,289,8.7
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",46,1.8,2502,97.5,0,0,5,0.2,0,0,19,0.7,21,0.8
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",49,1.3,3511,95.5,19,0.5,0,0,0,0,134,3.6,134,3.6
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",0,0,3521,96.9,11,0.3,0,0,10,0.3,114,3.1,114,3.1
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",109,4.9,2087,94.7,14,0.6,6,0.3,0,0,12,0.5,56,2.5
