Geo_id,Geo_id2,Geo_display_label,HH_T_10k,HH_T_1014k,HH_T_1524k,HH_T_2534k,HH_T_3549k,HH_T_5074k,HH_T_7599k,HH_T_100k,HH_T_150k,HH_T_200k
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",26.8,2.8,19.8,13.6,13.2,10.7,5.4,6.8,0,0.9
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",13.6,6.5,11.6,6.2,20.1,12.8,9.4,7.8,1.8,10.3
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",19,19.3,12,7,12.5,17.3,6.5,6.5,0,0
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",13.7,7.1,14.7,15.2,10,19.1,6.4,7.1,2.7,4.1
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",20.5,9.1,26.7,6,16.4,8.2,8.2,4.6,0.4,0
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",17,5.4,12.9,10.9,24.9,11.4,11.6,5.4,0.6,0
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",23.9,5,16.7,13.1,11.4,14.5,7.2,4.5,2.8,1
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",21.6,12.1,15.5,8.3,11.6,12.3,7.4,5.6,3.4,2.2
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",24.7,14.8,28.1,4.6,0.9,6.5,7.7,3.7,2.5,6.5
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",16,4.6,13.9,15.6,12.3,13.3,7.9,9.9,6,0.4
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",14.1,5.5,10.3,9.3,12.4,18.5,8.4,15.8,3,2.5
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",15.7,6.3,7.6,8.6,10.1,19.2,11.8,12.4,4.3,4
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",17.1,14.6,13,6.7,6.7,15.7,10.5,11.9,1.7,2
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",22.1,9.4,14.4,19.3,11.3,9.8,5,4.7,0,4.1
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",11.7,7.2,10.1,15.3,9.4,17.8,14.3,11.5,1.2,1.6
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",16.7,5.9,17.4,8.9,13.4,19.2,7.8,10.7,0,0
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",19.1,7.1,13.6,10.6,12.9,18,4.5,7.6,6,0.5
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",12.3,10.8,11.3,11.3,16.1,12.8,12.2,6.7,4.3,2.2
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",21.3,4.5,10.2,5.8,7.3,26.4,13.1,2.9,1.5,7.1
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",14.6,4.5,13.4,14.3,16.7,15.9,10.1,7.4,3.1,0
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",13.4,7.3,17.5,6.9,14.8,20.9,4.5,9.8,4.2,0.7
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",17.3,10.3,12.1,14.6,10.3,12.2,4.2,13.3,5.2,0.6
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",5.5,2.7,19.8,9.9,15.1,28.1,11,6.3,1,0.6
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",17.2,6.4,7.6,5,10.4,14,8.9,17.2,8.9,4.3
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",9,1.4,4.9,2.8,8.8,21.7,12.6,24.2,7.8,6.8
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",3.2,0.7,3.5,1.5,5.7,6.5,7,24.6,23.7,23.7
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",3.7,1,5.6,5.1,6.1,12,9.2,16.8,16.6,23.9
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",0,0.7,3.9,3.6,3.6,13.1,11.8,15.3,9.6,38.3
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",2.3,1.6,2.1,4,3.1,12.5,15.9,22.6,12.1,23.7
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",3.5,1.6,0,1.8,4.5,4.8,9.4,26.2,15.1,33
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",1.8,0.6,0.5,2.9,6.7,12.4,10.1,25,14.1,25.8
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",10.1,5.8,5.2,1.8,6,13.2,12.2,14.4,15.1,16.2
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",7.5,0.2,1.8,1.1,7.7,11.9,6.8,15.2,21.4,26.6
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",1.6,8.6,0.8,2.6,7.2,16.9,12.1,17.9,19.4,12.9
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",13.2,2.7,4.8,5.5,13.4,12.9,16.9,16.3,7.3,7
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",10.4,4.1,8.4,8.4,9.3,15.4,7.6,22.2,6.3,7.7
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",23.8,15.1,10.1,11,8.1,12.4,6.7,7.3,3.7,1.7
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",6.5,13.2,12,9.5,14,16.8,15.2,7.7,2.1,2.9
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",11.7,6.8,14.9,12,10.5,10.7,16.6,14,2.1,0.7
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",25,9.1,4.7,14,16.1,11.7,10.2,7.3,1,1
1400000US11001009000,11001009e3,"Census Tract 90, District of Columbia, District of Columbia",18.9,9.2,10.4,8.7,3.8,12.3,10.5,12.2,7.1,6.8
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",14.8,6.2,12.6,8.8,11.2,15.3,8.8,10.9,4.5,6.9
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",11.4,2.2,5.4,3.1,8.7,14.1,12.8,12.4,13.1,16.9
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",5.8,7.4,6.8,7.1,9.1,14.5,13.2,19.7,12.1,4.4
