Geo_id,Geo_id2,Geo_display_label,HH_INC_T,HH_INC_10K,HH_INC_15K,HH_INC_25K,HH_INC_35K,HH_INC_50K,HH_INC_75K,HH_INC_100,HH_INC_150,H_INC_200,H_INC_200M
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",2124,1.6,0.0,0.6,3.1,3.7,6.5,7.4,14.6,12.1,50.4
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",1524,0.5,2.2,0.0,3.0,5.2,6.4,4.6,20.2,17.6,40.3
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",1460,4.0,1.0,2.8,3.1,8.6,13.9,20.0,20.6,7.0,19.0
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",1566,5.1,12.2,10.3,10.5,10.2,20.7,15.9,6.6,2.2,6.3
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",2123,10.5,8.8,13.2,13.6,13.4,15.7,7.2,6.5,6.4,4.8
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",1410,7.9,4.9,5.1,6.5,10.4,11.3,16.2,17.0,9.1,11.5
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",810,4.6,2.0,7.4,3.0,10.0,14.8,16.4,19.5,8.5,13.8
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",1025,7.6,2.7,9.6,7.7,8.2,21.1,5.0,17.6,5.1,15.5
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",1312,2.5,2.5,12.4,6.2,3.3,14.9,14.3,14.4,8.9,20.6
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",1955,12.1,1.1,4.0,7.6,19.9,17.9,12.7,11.9,3.9,9.1
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",2077,10.2,2.2,5.2,10.0,5.9,15.5,8.6,21.5,12.8,8.3
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",1045,1.3,12.4,12.8,3.7,5.8,21.5,5.3,11.5,13.0,12.5
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",1210,8.4,4.0,4.7,10.4,18.5,17.0,8.0,14.4,6.3,8.3
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",1146,0.7,4.6,3.7,5.1,9.7,10.0,7.9,20.4,19.5,18.3
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",769,16.4,8.6,5.2,12.4,3.4,14.6,6.8,20.9,7.5,4.3
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",1392,0.6,2.2,2.3,3.1,8.5,16.4,14.3,23.8,18.7,10.1
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",1083,14.6,13.7,10.1,4.3,3.0,10.1,6.0,13.0,6.5,18.7
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",2534,8.0,3.3,9.6,8.3,8.2,14.3,14.7,16.5,6.7,10.4
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",946,1.7,0.0,3.0,3.8,6.8,12.4,4.8,13.2,11.9,42.5
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",2648,7.2,4.1,9.0,2.5,7.4,22.2,11.4,13.3,11.0,12.0
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",2417,6.9,5.8,6.6,2.9,10.2,15.0,11.2,11.8,7.4,22.2
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",1625,6.3,6.2,10.6,10.6,11.2,22.8,13.7,6.5,4.3,7.8
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",2083,14.7,1.3,5.5,16.0,4.6,13.5,17.4,13.4,5.7,7.9
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",1574,3.3,1.0,4.9,1.7,5.1,17.5,15.0,18.7,11.3,21.5
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",1435,9.8,10.3,11.0,7.0,6.9,6.8,9.6,13.1,11.8,13.8
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",1235,3.9,2.4,5.4,4.4,2.6,15.1,18.2,18.2,14.6,15.1
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",1613,9.4,0.0,5.5,1.8,11.8,14.2,14.2,21.6,6.3,15.3
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",1562,3.1,1.8,1.1,3.3,5.7,16.1,10.9,16.4,14.0,27.7
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",907,5.2,4.6,4.0,2.5,3.5,7.5,15.3,21.4,19.5,16.4
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",1084,16.1,4.9,6.9,9.0,3.3,3.1,15.1,17.7,7.7,16.1
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",1161,10.8,6.3,13.5,4.8,7.2,2.9,13.7,18.0,10.8,12.0
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",2120,7.9,5.5,2.7,6.3,6.7,13.6,11.0,13.2,16.0,17.1
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",2597,11.9,1.8,6.9,5.2,14.6,5.5,8.3,23.0,18.6,4.1
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",2752,5.7,2.1,2.0,9.5,5.5,12.0,14.7,19.3,9.2,19.9
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",2686,3.2,1.1,4.6,3.7,8.3,13.7,17.0,22.9,10.7,14.8
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",2228,3.1,0.0,6.4,2.1,4.7,14.3,12.6,22.2,10.1,24.6
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",1806,2.4,1.6,2.4,2.2,10.7,14.8,12.8,24.0,9.7,19.4
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",1397,1.3,1.2,0.2,0.5,2.2,9.8,17.5,19.4,10.8,37.1
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",2081,1.1,2.0,2.8,0.4,3.8,21.0,10.9,21.6,8.6,27.9
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1640,3.8,0.0,4.0,4.1,5.9,19.8,8.2,26.1,10.4,17.7
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",2178,4.5,4.3,8.6,5.4,4.8,16.6,6.6,22.2,8.7,18.3
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",2784,3.8,1.4,1.6,3.7,3.3,2.9,6.6,18.6,24.0,34.1
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",1319,7.3,5.6,12.9,2.0,7.6,7.0,8.6,20.8,10.8,17.4
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",2499,16.1,10.1,14.3,8.5,9.5,7.9,5.1,13.9,6.7,7.8
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",1665,7.6,3.9,4.7,4.1,5.8,9.8,12.1,17.4,14.0,20.4
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",1135,7.0,4.1,5.1,1.6,6.3,7.1,7.8,29.3,12.8,18.8
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",1797,7.4,2.8,9.2,9.8,6.3,15.5,9.3,18.4,6.9,14.4
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",1292,8.8,4.8,2.9,9.5,3.3,12.7,7.4,17.9,9.7,23.0
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",1499,10.8,10.3,2.5,4.7,9.6,8.3,5.6,17.0,13.2,17.9
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",927,1.0,0.5,3.6,0.0,4.5,6.8,11.9,30.3,14.0,27.4
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",3466,10.8,4.3,3.8,6.3,4.7,9.9,16.1,17.1,10.0,17.0
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",4041,6.8,0.0,2.7,2.6,4.4,13.9,13.6,23.2,12.7,20.0
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",3398,8.1,0.8,1.7,6.9,8.7,15.2,12.4,21.7,10.3,14.3
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",4152,13.2,3.7,4.5,4.9,3.4,17.7,7.4,17.8,10.0,17.5
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",3084,13.5,7.1,7.7,3.4,5.4,11.6,9.4,16.3,12.7,12.9
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",1931,8.9,0.4,3.1,2.1,5.0,6.7,8.2,26.0,14.3,25.4
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",1319,17.5,2.3,4.4,1.5,5.2,9.5,8.1,27.1,7.7,16.7
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",52,0.0,0.0,0.0,0.0,0.0,0.0,23.1,0.0,76.9,0.0
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",1147,33.6,9.2,12.6,11.6,10.0,6.2,4.4,6.6,1.7,4.1
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",1112,1.8,1.2,5.3,4.2,4.7,13.1,10.3,16.9,13.2,29.3
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",955,1.3,2.3,3.2,1.0,2.4,15.1,13.5,16.0,23.2,21.9
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",1783,4.2,0.8,0.9,1.1,0.7,9.5,9.9,26.1,14.6,32.2
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",977,9.4,2.5,4.3,8.2,5.7,9.4,16.6,21.2,7.8,14.9
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",1005,3.9,1.3,2.3,1.6,5.6,8.8,9.5,16.5,17.0,33.6
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",27,0.0,0.0,0.0,0.0,0.0,14.8,0.0,0.0,55.6,29.6
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",1151,4.4,2.3,2.1,6.7,0.5,8.2,7.4,19.5,15.1,33.9
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",1119,3.1,0.8,1.7,0.9,0.7,18.6,9.5,24.7,17.1,23.0
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",1359,13.3,10.3,10.5,2.9,3.5,9.6,12.1,17.7,6.7,13.3
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",2730,6.7,3.8,3.6,1.9,5.6,9.5,16.0,22.2,17.0,13.6
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",1194,0.7,0.0,2.2,7.3,17.3,14.8,18.3,19.5,12.0,7.9
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",1209,19.8,6.9,10.0,13.5,13.0,15.6,10.8,6.0,2.1,2.6
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",869,35.0,16.5,19.0,7.8,9.9,5.6,2.1,2.6,1.5,0.0
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",1052,26.8,2.8,19.8,13.6,13.2,10.7,5.4,6.8,0.0,0.9
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",1160,13.6,6.5,11.6,6.2,20.1,12.8,9.4,7.8,1.8,10.3
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",883,19.0,19.3,12.0,7.0,12.5,17.3,6.5,6.5,0.0,0.0
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",1403,13.7,7.1,14.7,15.2,10.0,19.1,6.4,7.1,2.7,4.1
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",1067,20.5,9.1,26.7,6.0,16.4,8.2,8.2,4.6,0.4,0.0
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",1492,17.0,5.4,12.9,10.9,24.9,11.4,11.6,5.4,0.6,0.0
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",1783,23.9,5.0,16.7,13.1,11.4,14.5,7.2,4.5,2.8,1.0
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",935,21.6,12.1,15.5,8.3,11.6,12.3,7.4,5.6,3.4,2.2
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",1080,24.7,14.8,28.1,4.6,0.9,6.5,7.7,3.7,2.5,6.5
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",2095,16.0,4.6,13.9,15.6,12.3,13.3,7.9,9.9,6.0,0.4
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",2121,14.1,5.5,10.3,9.3,12.4,18.5,8.4,15.8,3.0,2.5
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",1775,15.7,6.3,7.6,8.6,10.1,19.2,11.8,12.4,4.3,4.0
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",1610,17.1,14.6,13.0,6.7,6.7,15.7,10.5,11.9,1.7,2.0
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",2208,22.1,9.4,14.4,19.3,11.3,9.8,5.0,4.7,0.0,4.1
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",1521,11.7,7.2,10.1,15.3,9.4,17.8,14.3,11.5,1.2,1.6
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",1111,16.7,5.9,17.4,8.9,13.4,19.2,7.8,10.7,0.0,0.0
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",1092,19.1,7.1,13.6,10.6,12.9,18.0,4.5,7.6,6.0,0.5
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",1669,12.3,10.8,11.3,11.3,16.1,12.8,12.2,6.7,4.3,2.2
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",1229,21.3,4.5,10.2,5.8,7.3,26.4,13.1,2.9,1.5,7.1
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",910,14.6,4.5,13.4,14.3,16.7,15.9,10.1,7.4,3.1,0.0
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",858,13.4,7.3,17.5,6.9,14.8,20.9,4.5,9.8,4.2,0.7
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",1413,17.3,10.3,12.1,14.6,10.3,12.2,4.2,13.3,5.2,0.6
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",1247,5.5,2.7,19.8,9.9,15.1,28.1,11.0,6.3,1.0,0.6
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",1590,17.2,6.4,7.6,5.0,10.4,14.0,8.9,17.2,8.9,4.3
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",796,9.0,1.4,4.9,2.8,8.8,21.7,12.6,24.2,7.8,6.8
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",1298,3.2,0.7,3.5,1.5,5.7,6.5,7.0,24.6,23.7,23.7
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",1547,3.7,1.0,5.6,5.1,6.1,12.0,9.2,16.8,16.6,23.9
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",1427,0.0,0.7,3.9,3.6,3.6,13.1,11.8,15.3,9.6,38.3
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",1369,2.3,1.6,2.1,4.0,3.1,12.5,15.9,22.6,12.1,23.7
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",999,3.5,1.6,0.0,1.8,4.5,4.8,9.4,26.2,15.1,33.0
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",952,1.8,0.6,0.5,2.9,6.7,12.4,10.1,25.0,14.1,25.8
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",1189,10.1,5.8,5.2,1.8,6.0,13.2,12.2,14.4,15.1,16.2
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",561,7.5,0.2,1.8,1.1,7.7,11.9,6.8,15.2,21.4,26.6
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",876,1.6,8.6,0.8,2.6,7.2,16.9,12.1,17.9,19.4,12.9
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",1280,13.2,2.7,4.8,5.5,13.4,12.9,16.9,16.3,7.3,7.0
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",1799,10.4,4.1,8.4,8.4,9.3,15.4,7.6,22.2,6.3,7.7
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",643,23.8,15.1,10.1,11.0,8.1,12.4,6.7,7.3,3.7,1.7
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",1164,6.5,13.2,12.0,9.5,14.0,16.8,15.2,7.7,2.1,2.9
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",1461,11.7,6.8,14.9,12.0,10.5,10.7,16.6,14.0,2.1,0.7
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",1709,25.0,9.1,4.7,14.0,16.1,11.7,10.2,7.3,1.0,1.0
1400000US11001009000,11001009000,"Census Tract 90, District of Columbia, District of Columbia",1946,18.9,9.2,10.4,8.7,3.8,12.3,10.5,12.2,7.1,6.8
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",2098,14.8,6.2,12.6,8.8,11.2,15.3,8.8,10.9,4.5,6.9
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",930,11.4,2.2,5.4,3.1,8.7,14.1,12.8,12.4,13.1,16.9
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",1159,5.8,7.4,6.8,7.1,9.1,14.5,13.2,19.7,12.1,4.4
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",1341,23.9,12.4,12.4,6.5,6.9,23.6,7.7,2.2,2.2,2.2
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",1179,2.3,4.9,5.9,6.4,7.4,13.3,11.9,18.4,9.9,19.6
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",509,6.1,7.9,2.0,10.0,8.1,19.3,13.9,15.1,5.9,11.8
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",1693,4.8,2.0,8.5,5.1,7.6,13.6,10.2,19.5,20.4,8.2
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",1908,8.1,5.2,10.4,11.6,17.8,19.7,10.6,12.6,1.5,2.5
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",1208,5.5,0.7,2.1,2.6,6.0,9.8,18.9,31.8,14.7,7.9
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",1296,6.6,4.4,2.5,7.3,5.6,12.7,15.2,25.7,8.5,11.5
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",1179,14.2,3.6,4.2,6.0,8.1,18.1,10.3,17.6,7.0,10.9
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",582,6.4,3.4,5.8,7.0,9.1,18.4,19.8,20.6,3.4,6.0
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",1597,9.2,6.6,14.5,8.7,7.5,19.3,10.3,16.9,3.9,3.0
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",1304,5.3,2.1,5.1,7.7,10.6,23.2,7.4,24.7,9.8,4.0
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",905,14.6,9.4,19.4,14.6,8.6,19.6,6.3,4.2,1.8,1.5
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",1708,23.7,10.3,17.2,16.8,14.2,9.9,6.2,1.3,0.0,0.4
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",1639,9.6,9.9,12.8,9.5,14.6,21.8,12.9,4.7,0.4,3.8
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",977,8.7,7.0,11.3,8.8,11.2,19.0,9.7,19.0,4.3,1.0
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",1120,15.8,7.9,21.2,7.0,13.8,9.8,15.1,3.3,2.4,3.8
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",864,21.6,17.6,15.6,10.8,8.7,18.2,3.8,1.9,0.3,1.5
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",700,27.0,9.4,15.1,6.3,10.0,12.6,10.7,5.4,3.4,0.0
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",1223,34.2,5.6,8.3,13.2,14.6,10.9,5.8,5.3,1.3,0.7
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",1048,15.3,6.7,10.8,11.7,19.0,14.1,7.8,9.3,2.8,2.6
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",1344,15.7,9.3,6.6,12.6,16.3,15.8,5.8,11.1,1.2,5.6
1400000US11001009810,11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",1203,19.8,13.8,9.0,16.2,20.8,10.8,1.6,3.7,4.3,0.0
1400000US11001009811,11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",1819,16.7,7.9,12.4,22.2,16.5,10.6,8.7,4.0,0.7,0.5
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",993,4.8,2.5,3.4,10.9,9.4,13.6,8.4,20.4,13.5,13.1
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",1105,11.9,3.2,10.0,6.4,17.3,16.8,13.6,12.2,5.8,2.9
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",681,9.3,4.8,15.9,3.1,7.9,14.4,16.9,20.4,2.3,5.0
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",1072,24.3,7.2,14.3,9.4,10.4,9.3,7.8,10.3,3.8,3.1
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",1141,19.1,7.6,10.7,9.1,13.0,20.7,8.0,7.8,1.5,2.5
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",728,13.3,9.1,14.8,4.9,13.5,25.1,12.8,4.0,1.1,1.4
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",1157,23.2,5.0,13.8,14.3,14.7,12.4,11.9,3.9,0.9,0.0
1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",1848,9.4,3.4,4.1,6.2,8.3,9.8,19.9,18.2,10.6,10.3
