Geo_id,Geo_id2,Geo_display_label,HH_T_SNAP,HH_P_SNAP,HH_T_nSNAP,HH_P_nSNAP
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",416,38.5,664,61.5
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",854,40.8,1241,59.2
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",541,25.5,1580,74.5
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",560,31.5,1215,68.5
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",612,38,998,62
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",1020,46.2,1188,53.8
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",444,29.2,1077,70.8
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",440,39.6,671,60.4
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",308,28.2,784,71.8
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",334,20,1335,80
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",469,38.2,760,61.8
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",314,34.5,596,65.5
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",253,29.5,605,70.5
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",549,38.9,864,61.1
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",343,27.5,904,72.5
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",388,24.4,1202,75.6
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",114,14.3,682,85.7
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",23,1.8,1275,98.2
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",98,6.3,1449,93.7
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",23,1.6,1404,98.4
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",0,0,1369,100
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",4,0.4,995,99.6
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",0,0,952,100
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",91,7.7,1098,92.3
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",43,7.7,518,92.3
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",110,12.6,766,87.4
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",190,14.8,1090,85.2
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",324,18,1475,82
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",229,35.6,414,64.4
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",393,33.8,771,66.2
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",420,28.7,1041,71.3
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",528,30.9,1181,69.1
1400000US11001009000,11001009e3,"Census Tract 90, District of Columbia, District of Columbia",471,24.2,1475,75.8
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",480,22.9,1618,77.1
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",71,7.6,859,92.4
