Geo_id,Geo_id2,Geo_display_label,I_T_OE,I_T_SS,I_T_SS_E,I_T_SS_nE,I_T_OL,I_T_OL_E,I_T_OL_nE,I_T_FB
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",2503,129,66,63,89,62,27,178
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",2018,32,32,0,207,207,0,136
1400000US11001007000,11001007e3,"Census Tract 70, District of Columbia, District of Columbia",2398,257,215,42,58,49,9,251
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",2939,70,54,16,72,54,18,131
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",4556,180,165,15,164,129,35,251
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",2961,403,367,36,270,186,84,244
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",3144,103,35,68,42,42,0,89
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",2027,29,13,16,10,0,10,69
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",2888,0,0,0,151,133,18,133
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",3681,78,67,11,103,62,41,70
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",2512,270,105,165,0,0,0,156
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",2824,91,57,34,56,47,9,98
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",3160,20,10,10,27,27,0,38
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",3502,139,31,108,53,43,10,167
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",4854,11,0,11,10,10,0,68
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",2049,60,41,19,47,47,0,64
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",2441,29,19,10,73,30,43,64
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",4288,171,124,47,68,33,35,166
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",3525,365,86,279,59,59,0,112
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",3799,92,70,22,33,25,8,114
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",3355,143,101,42,160,133,27,241
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",5257,422,422,0,28,2,26,297
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",3924,113,94,19,7,7,0,36
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",2773,0,0,0,14,14,0,0
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",2319,84,45,39,30,30,0,65
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",3219,301,211,90,115,107,8,256
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",3651,0,0,0,69,33,36,144
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",1930,12,12,0,18,18,0,38
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",1933,96,69,27,28,21,7,105
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",3324,80,80,0,24,16,8,318
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",3089,137,88,49,75,15,60,89
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",3575,69,69,0,65,51,14,111
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",1604,46,44,2,114,108,6,115
