Geo_id,Geo_id2,Geo_display_label,I_T_wa,I_R_lfpart,I_O_ratio,I_R_unemp
1400000US11001009000,11001009e3,"Census Tract 90, District of Columbia, District of Columbia",2983,54.2,48.1,11.3
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",4064,61.7,53.4,13.5
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",2354,75.2,69.8,6.6
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",2346,72,66,8.4
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",2266,54.1,45,16.9
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",2956,71.5,62.7,12
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",1138,71.4,64.9,9
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",4070,66.7,59.8,10.1
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",6185,58.2,52.9,8.8
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",2697,58.5,54.1,7.1
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",2928,61.7,57.3,7.1
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",2427,66.1,59.5,10
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",1478,68.1,56,17.7
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",3180,60.8,54.4,10.6
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",2613,63.1,52.7,16.6
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",1941,54.3,40.8,25
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",2667,58.8,46,21.7
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",3057,61.3,50.7,17.2
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",1900,61.6,55.6,9.8
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",2327,57,41.9,26.5
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",1525,58.8,41.8,28.8
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",1408,55.9,37.1,33.5
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",2316,63,44.6,29.3
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",2163,66.6,50.5,24.1
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",2658,62.7,50.8,19
1400000US11001009810,11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",2101,73.2,54,26.2
