Geo_id,Geo_id2,Geo_display_label,I_T_5,I_T_59,I_T_1014,I_T_1519,I_T_2024,I_T_2529,I_T_3034,I_T_3539,I_T_4044,I_T_4559,I_T_6089,I_T_90
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",0,17,21,73,135,16,140,34,53,110,109,82
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",0,22,71,87,150,21,304,10,97,224,58,59
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",21,10,39,62,91,202,373,94,127,185,277,31
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",0,3,143,351,250,126,294,83,65,258,83,79
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",26,9,63,63,115,86,151,48,135,140,82,56
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",0,51,112,208,209,208,434,122,191,120,65,0
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",33,52,146,197,409,198,436,112,180,233,74,9
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",8,73,202,247,178,268,321,75,135,266,101,40
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",65,153,231,262,134,69,438,93,31,252,33,25
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",24,63,76,249,282,106,258,85,124,186,53,8
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",5,26,152,160,304,60,316,91,149,215,50,8
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",0,21,88,348,353,174,220,57,31,182,76,9
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",0,63,48,106,141,88,100,67,153,104,86,37
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",0,31,138,216,239,106,374,35,202,172,125,12
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",0,6,160,217,191,145,336,42,57,265,119,27
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",47,28,150,247,322,118,418,102,69,296,140,0
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",31,117,79,68,73,34,162,21,70,53,26,6
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",0,24,124,74,82,35,177,43,99,206,167,30
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",0,47,93,136,251,46,365,113,35,120,88,0
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",39,19,102,45,266,97,367,52,116,226,209,141
1400000US11001009000,11001009e3,"Census Tract 90, District of Columbia, District of Columbia",19,54,34,132,176,129,324,63,114,111,82,119
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",51,93,157,254,318,153,333,93,46,333,224,73
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",39,148,130,120,227,106,326,18,155,182,58,13
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",10,28,85,139,251,68,332,37,6,149,251,53
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",0,33,53,50,168,49,133,82,0,223,157,43
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",10,39,151,213,188,45,445,109,115,218,102,0
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",19,11,51,16,101,51,206,52,18,70,79,0
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",0,27,141,325,323,98,496,49,179,356,286,36
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",140,343,250,404,256,146,569,95,169,401,358,12
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",22,6,76,72,256,46,257,103,112,287,78,0
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",8,28,46,44,385,57,311,229,79,307,84,0
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",0,10,14,69,150,112,478,104,59,197,183,34
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",0,13,74,91,130,6,99,53,128,111,89,23
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",0,130,129,125,336,114,349,85,134,141,68,39
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",0,10,60,117,132,62,422,23,79,173,127,17
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",20,26,12,51,151,17,289,16,36,59,39,21
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",0,65,61,81,154,9,223,89,126,137,188,48
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",29,0,32,70,163,65,557,65,159,140,121,105
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",15,42,76,96,205,25,259,28,44,88,68,48
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",0,39,20,50,97,30,141,32,160,164,135,43
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",19,36,25,69,76,24,50,6,46,73,189,25
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",0,17,31,17,39,7,76,16,30,147,62,58
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",0,0,75,221,51,39,135,35,62,167,86,135
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",16,43,75,72,100,64,145,31,48,267,156,49
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",9,19,128,94,278,35,192,102,27,172,132,91
1400000US11001009810,11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",0,36,57,46,96,12,116,40,19,158,269,259
1400000US11001009811,11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",53,68,22,84,76,31,374,62,0,256,312,366
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",0,13,52,220,326,132,232,6,27,378,63,66
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",10,45,26,225,224,86,273,9,67,96,140,30
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",0,18,0,96,73,20,237,51,82,98,174,23
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",27,6,37,89,113,62,291,76,73,124,126,54
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",10,41,93,76,178,46,168,9,20,231,109,48
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",0,6,7,39,101,40,251,57,22,66,67,50
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",0,19,66,167,77,77,131,12,96,195,137,72
1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",36,75,335,407,311,157,271,10,103,83,95,26
1400000US11001010200,11001010200,"Census Tract 102, District of Columbia, District of Columbia",22,107,153,252,335,125,346,83,84,149,50,19
1400000US11001010300,11001010300,"Census Tract 103, District of Columbia, District of Columbia",0,156,27,99,114,46,263,92,157,444,58,21
1400000US11001010400,11001010400,"Census Tract 104, District of Columbia, District of Columbia",0,34,15,110,112,27,203,122,79,223,240,196
1400000US11001010500,11001010500,"Census Tract 105, District of Columbia, District of Columbia",52,48,342,274,334,308,263,191,104,202,60,31
1400000US11001010600,11001010600,"Census Tract 106, District of Columbia, District of Columbia",49,341,427,606,871,552,836,338,319,495,300,45
1400000US11001010700,11001010700,"Census Tract 107, District of Columbia, District of Columbia",11,103,215,220,186,84,146,50,44,30,19,0
1400000US11001010800,11001010800,"Census Tract 108, District of Columbia, District of Columbia",105,485,622,236,205,79,140,44,28,214,27,5
1400000US11001010900,11001010900,"Census Tract 109, District of Columbia, District of Columbia",52,14,98,171,356,73,164,20,92,70,107,58
1400000US11001011000,11001011e3,"Census Tract 110, District of Columbia, District of Columbia",3,55,297,336,362,272,408,164,130,195,50,24
1400000US11001011100,11001011100,"Census Tract 111, District of Columbia, District of Columbia",0,125,205,283,278,179,346,20,113,273,174,61
